time,open,high,low,close,Volume,Volume MA
1569369600,750,755,703.34,727.00395,555.93467515,568.2552683150004
1569456000,736.99953,736.99953,666.66,703,747.80948325,582.1934565225004
1569542400,704.99995,749,685,738,506.80774297,595.7440659830004
1569628800,738,747.79911,723.92084,737.97613,270.44713329,591.2745260425004
1569715200,729.01,738,700,721.08,242.79500737,580.6176591615003
1569801600,721.08,748,708.1,743.99999,439.10212112,589.2190921020003
1569888000,744,800,734.00007,743.95892,629.37703016,611.2429473315003
1569974400,738.52541,754.79999,736.01,745.97,310.28774049,619.6553955695003
1570060800,746.82,752.98716,715.00002,719.99999,340.28220034,616.9062959885003
1570147200,719.99,729.99564,716.01,725.91,161.99021106,607.1089557855004
1570233600,721.61591,726,712,714.99,58.55107745,597.7852165275003
1570320000,714.991,718,700,705.00999,70.93883203,557.3195705700003
1570406400,700.00001,748,695,737.63,300.23846818,505.7088760365003
1570492800,740.98933,752.96989,730,733.43,239.64993759,464.13505575800036
1570579200,739.22995,800,732.80247,788.2,807.03809194,431.4802502145004
1570665600,786,799,777.99014,792.47807,362.7204478,414.3188653335004
1570752000,792.47969,795.9999,746.00008,756.99,515.28844437,430.15250085450043
1570838400,759.9352,767.99,750,751.81427,114.59652412,421.36284385450034
1570924800,759.39417,767.98318,750,759.99999,108.47245562,401.89739250750034
1571011200,759.99999,780,753.2,774,294.04511307,353.8186368685004
1571097600,774,780,757,762.99,323.61841519,342.20282387050037
1571184000,762.82,768.42,732.8,738.97,378.30919427,323.7278094215004
1571270400,739.99999,757.99988,732,744.98995,289.73068983,312.8739567645004
1571356800,744.98995,748.98,721.0004,722.501,406.46761747,319.6749809735004
1571443200,722.501,732,715,717.50005,106.83604367,312.8770327885004
1571529600,719.99939,748.98,711.00421,729.31999,225.78946074,302.2113997695004
1571616000,723.57506,760,722.71,728.22,413.26655806,291.4058761645004
1571702400,728.22,741.44109,713,713.01,457.05059101,298.7440186905004
1571788800,713.01,727.98966,640.1303,662.99861,1260.76253182,344.7680352645004
1571875200,655.25406,676.72276,610.0001,668.71999,396.11332261,356.47419084200044
1571961600,668.18879,740,658,710.53561,935.32405682,400.3128398105004
1572048000,715.98606,753,671,689.04091,846.43391259,439.08759383850037
1572134400,689.50025,718.98995,688.00001,718.94,312.73682168,439.71251151350043
1572220800,718.94,720,695.04001,715.98981,731.49787848,464.3049085580004
1572307200,711,760,708.34001,752.5,915.21985514,469.71399671800043
1572393600,747.05,759.7,725,736.99373,506.15006792,476.88547772400045
1572480000,726.91025,754,725,737.69,339.48032323,468.0950716670004
1572566400,737.69995,739.97,723.2,736,424.6375189,483.5971214060004
1572652800,736,736.5,726,729.55631,98.96808573,483.12190291150046
1572739200,732.68899,739.71,726.10001,727.50005,204.75404905,478.6573497105004
1572825600,727.50025,746,727.5,744,283.97671204,476.6752645530004
1572912000,744,759,726.62,751.00001,575.44981078,486.5322953785004
1572998400,754,770,737,765.00157,506.55238722,497.3733802480004
1573084800,765.00238,775,752.30001,763.97969,387.23591466,496.4117951075003
1573171200,760.00001,773,745,767.03,528.83437599,517.5117117235003
1573257600,767.04,770.9,762.47456,769.39825,156.74268833,514.0593731030003
1573344000,769.39669,794,763.89,786.00011,312.03306122,508.99769826100027
1573430400,786.00011,788,763.89,777.12059,322.96785189,502.29356130500025
1573516800,768.20207,783.28999,768.20001,781.98,169.94901125,447.75288527650025
1573603200,777.00006,789,726,785,438.40562716,449.8675005040003
1573689600,783,790,749,782.99995,230.11612722,414.60710402400036
1573776000,782.99,783,760.48002,764.19067,121.7361258,378.37221468450036
1573862400,770.83816,776,762.05,769,62.13144851,365.8419460260004
1573948800,769.0001,781.77,765.4321,781.75,48.10206052,331.67215512800044
1574035200,781.76,781.76,745,751.00002,278.89972265,299.85614850350044
1574121600,760.891,760.891,738,749.8593,187.13501519,283.90539586700044
1574208000,749.85999,749.85999,733,742.95652,117.11950992,272.7873552015004
1574294400,733.11328,746,680,683.63799,545.65330804,278.8381446585005
1574380800,699.85543,699.85544,620,646,903.29324812,319.05440277800045
1574467200,641.00001,681.67999,630.2002,656.98957,146.47352179,316.14037641500045
1574553600,656.30993,656.30993,620,620,170.52669856,310.46787574100046
1574640000,620,647.66999,582.94283,625.00013,608.23735305,312.1072528545004
1574726400,635.00333,641.78494,620.00197,633.82763,295.47086931,301.55317695900044
1574812800,633.81994,750.1,622,660.90006,922.53362084,328.31806226800046
1574899200,664.20885,667.82999,636.45002,646.35,296.84657674,316.7186723055005
